vector_id,family,amounts,N,S,pairing,warmup_rounds,hhi,one_minus_hhi,pairwise_sum,gini,max_share,entropy,sims,absorbed_count,censored_count,censored_fraction,mean_observed_time,median_observed_time,p90_observed_time,p99_observed_time,mean_absorption_time_absorbed_only,median_absorption_time_absorbed_only,p90_absorption_time_absorbed_only
0,equal,14 14 13 13 13 13,6,80,ranked-after-warmup,3,0.166875,0.833125,2666.0,0.016666666666666607,0.175,1.7911394869585422,50,50,0,0.0,2224.7,2233.5,3937.1000000000004,5029.48,2224.7,2233.5,3937.1000000000004
1,linear_descending_p0.50,18 16 15 13 10 8,6,80,ranked-after-warmup,3,0.1778125,0.8221875,2631.0,0.14583333333333326,0.225,1.7568442706128848,50,50,0,0.0,2636.24,2118.5,5131.900000000001,8100.2699999999995,2636.24,2118.5,5131.900000000001
2,linear_descending_p1.33,25 20 15 10 7 3,6,80,ranked-after-warmup,3,0.22,0.78,2496.0,0.3208333333333333,0.3125,1.620147222815757,50,50,0,0.0,2310.22,1893.5,4000.7000000000007,6682.519999999997,2310.22,1893.5,4000.7000000000007
3,linear_descending_p2.17,31 21 14 8 4 2,6,80,ranked-after-warmup,3,0.2628125,0.7371875,2359.0,0.42083333333333317,0.3875,1.495746868612842,50,50,0,0.0,1995.98,1462.5,4372.3,6739.629999999998,1995.98,1462.5,4372.3
4,linear_descending_p3.00,37 22 12 6 2 1,6,80,ranked-after-warmup,3,0.31843750000000004,0.6815625,2181.0,0.5125,0.4625,1.337493788228088,50,50,0,0.0,1646.08,1343.0,2687.0000000000005,5403.8899999999985,1646.08,1343.0,2687.0000000000005
5,geometric_r0.55,35 20 11 7 4 3,6,80,ranked-after-warmup,3,0.284375,0.715625,2290.0,0.44166666666666665,0.4375,1.4671383724506009,50,50,0,0.0,2294.28,2001.5,4087.6000000000004,5830.71,2294.28,2001.5,4087.6000000000004
6,geometric_r0.67,28 19 13 9 6 5,6,80,ranked-after-warmup,3,0.22749999999999998,0.7725,2472.0,0.3291666666666666,0.35,1.6174869333034707,50,50,0,0.0,2226.78,1970.0,3394.0,5783.359999999999,2226.78,1970.0,3394.0
7,geometric_r0.78,22 17 14 11 9 7,6,80,ranked-after-warmup,3,0.19062500000000002,0.809375,2590.0,0.2124999999999999,0.275,1.7209315887032879,50,50,0,0.0,2241.76,1770.5,4136.3,6396.11,2241.76,1770.5,4136.3
8,geometric_r0.90,17 15 14 13 11 10,6,80,ranked-after-warmup,3,0.171875,0.828125,2650.0,0.09999999999999987,0.2125,1.7760363464510698,50,50,0,0.0,2020.36,1710.5,3561.1,5754.919999999999,2020.36,1710.5,3561.1
9,one_whale_s0.30,23 12 12 11 11 11,6,80,ranked-after-warmup,3,0.184375,0.815625,2610.0,0.1333333333333333,0.2875,1.7459682526285232,50,50,0,0.0,2069.86,1743.5,4102.8,6908.889999999992,2069.86,1743.5,4102.8
10,one_whale_s0.45,35 9 9 9 9 9,6,80,ranked-after-warmup,3,0.2546875,0.7453125,2385.0,0.27083333333333326,0.4375,1.5906230330206395,50,50,0,0.0,2077.3,1567.5,3991.5000000000005,6482.57,2077.3,1567.5,3991.5000000000005
11,one_whale_s0.60,45 7 7 7 7 7,6,80,ranked-after-warmup,3,0.3546874999999999,0.6453125000000002,2065.0,0.39583333333333326,0.5625,1.3894432939663768,50,50,0,0.0,1869.82,1239.0,4321.4,9395.219999999994,1869.82,1239.0,4321.4
12,one_whale_s0.75,56 5 5 5 5 4,6,80,ranked-after-warmup,3,0.5081249999999999,0.49187500000000006,1574.0,0.5416666666666665,0.7,1.0926062549947577,50,50,0,0.0,1692.02,1167.0,3425.0,5197.799999999999,1692.02,1167.0,3425.0
13,two_whales_s0.35,16 13 13 13 13 12,6,80,ranked-after-warmup,3,0.16812500000000002,0.8318749999999999,2662.0,0.04166666666666652,0.2,1.7875558104077263,50,50,0,0.0,1859.04,1728.5,3121.0,4247.019999999997,1859.04,1728.5,3121.0
14,two_whales_s0.48,22 16 11 11 10 10,6,80,ranked-after-warmup,3,0.18468750000000003,0.8153125,2609.0,0.16249999999999987,0.275,1.7424047422843254,50,50,0,0.0,2087.66,1554.0,4346.7,5505.919999999998,2087.66,1554.0,4346.7
15,two_whales_s0.62,28 20 8 8 8 8,6,80,ranked-after-warmup,3,0.22500000000000003,0.7749999999999999,2480.0,0.2833333333333332,0.35,1.635045371052128,50,50,0,0.0,2246.84,2174.0,3505.8,5541.419999999996,2246.84,2174.0,3505.8
16,two_whales_s0.75,33 24 6 6 6 5,6,80,ranked-after-warmup,3,0.28093749999999995,0.7190625,2301.0,0.40416666666666656,0.4125,1.4825653663611311,50,50,0,0.0,2308.22,1955.5,4646.600000000001,6470.78,2308.22,1955.5,4646.600000000001
17,dirichlet_a0.20_d0,71 3 2 2 1 1,6,80,ranked-after-warmup,3,0.7906249999999999,0.2093750000000001,670.0,0.7416666666666667,0.8875,0.5230429239466627,50,50,0,0.0,580.36,256.5,1157.0000000000014,3913.979999999997,580.36,256.5,1157.0000000000014
18,dirichlet_a0.20_d1,58 10 9 1 1 1,6,80,ranked-after-warmup,3,0.554375,0.44562500000000005,1426.0,0.6666666666666665,0.725,0.9031945504531471,50,50,0,0.0,1873.58,1142.0,4062.8,6828.1399999999985,1873.58,1142.0,4062.8
19,dirichlet_a0.20_d2,74 2 1 1 1 1,6,80,ranked-after-warmup,3,0.8568749999999999,0.14312500000000006,458.0,0.7666666666666666,0.925,0.3834377439460259,50,50,0,0.0,384.06,89.0,946.2000000000007,3338.0599999999968,384.06,89.0,946.2000000000007
20,dirichlet_a0.20_d3,45 15 12 5 2 1,6,80,ranked-after-warmup,3,0.37875000000000003,0.62125,1988.0,0.5541666666666667,0.5625,1.2423650249620823,50,50,0,0.0,1693.72,1502.0,3121.3,5190.61,1693.72,1502.0,3121.3
21,dirichlet_a0.58_d0,28 14 13 12 12 1,6,80,ranked-after-warmup,3,0.22468749999999996,0.7753125000000001,2481.0,0.29583333333333317,0.35,1.59164375790599,50,50,0,0.0,2947.68,2414.0,5298.8,10448.079999999994,2947.68,2414.0,5298.8
22,dirichlet_a0.58_d1,43 15 11 6 4 1,6,80,ranked-after-warmup,3,0.35125,0.6487499999999999,2076.0,0.5166666666666666,0.5375,1.3192148815240528,50,50,0,0.0,1671.86,1277.0,2574.400000000001,6434.379999999998,1671.86,1277.0,2574.400000000001
23,dirichlet_a0.58_d2,40 15 14 8 2 1,6,80,ranked-after-warmup,3,0.32656250000000003,0.6734374999999999,2155.0,0.5,0.5,1.3427196285455965,50,50,0,0.0,1990.04,1540.0,4030.9000000000005,5986.389999999999,1990.04,1540.0,4030.9000000000005
24,dirichlet_a0.58_d3,44 23 5 5 2 1,6,80,ranked-after-warmup,3,0.39375000000000004,0.60625,1940.0,0.5791666666666666,0.55,1.1807593303709463,50,50,0,0.0,1681.4,1206.0,3490.7,5376.23,1681.4,1206.0,3490.7
25,dirichlet_a1.71_d0,22 19 14 10 10 5,6,80,ranked-after-warmup,3,0.1978125,0.8021875,2567.0,0.2416666666666667,0.275,1.6946145269900024,50,50,0,0.0,2242.58,1803.5,4136.000000000001,6952.029999999999,2242.58,1803.5,4136.000000000001
26,dirichlet_a1.71_d1,21 18 18 15 4 4,6,80,ranked-after-warmup,3,0.2103125,0.7896875,2527.0,0.27083333333333326,0.2625,1.6357833548995555,50,50,0,0.0,2237.76,1538.0,4040.3000000000006,8481.609999999995,2237.76,1538.0,4040.3000000000006
27,dirichlet_a1.71_d2,39 17 7 6 6 5,6,80,ranked-after-warmup,3,0.3056249999999999,0.6943750000000001,2222.0,0.4249999999999998,0.4875,1.4543615686200535,50,50,0,0.0,2078.08,1533.5,3727.0,9772.049999999997,2078.08,1533.5,3727.0
28,dirichlet_a1.71_d3,20 13 13 12 11 11,6,80,ranked-after-warmup,3,0.17562500000000003,0.824375,2638.0,0.10833333333333317,0.25,1.7673278276226325,50,50,0,0.0,2097.7,1701.5,4351.1,5003.4,2097.7,1701.5,4351.1
29,dirichlet_a5.00_d0,24 15 14 13 9 5,6,80,ranked-after-warmup,3,0.19874999999999998,0.80125,2564.0,0.23749999999999982,0.3,1.6944341351152077,50,50,0,0.0,2532.94,1892.0,4818.900000000001,7539.139999999997,2532.94,1892.0,4818.900000000001
30,dirichlet_a5.00_d1,19 15 13 12 11 10,6,80,ranked-after-warmup,3,0.17500000000000002,0.825,2640.0,0.12083333333333335,0.2375,1.7678889597254561,50,50,0,0.0,2438.6,1847.5,4858.900000000001,5732.49,2438.6,1847.5,4858.900000000001
31,dirichlet_a5.00_d2,22 14 14 11 11 8,6,80,ranked-after-warmup,3,0.18468750000000003,0.8153125,2609.0,0.17083333333333317,0.275,1.740954540447469,50,50,0,0.0,2150.98,2045.0,3079.4000000000005,4146.529999999999,2150.98,2045.0,3079.4000000000005
32,dirichlet_a5.00_d3,23 14 14 11 9 9,6,80,ranked-after-warmup,3,0.18812500000000001,0.811875,2598.0,0.18333333333333335,0.2875,1.7328158523184853,50,50,0,0.0,2105.08,1598.0,3893.8,6633.36,2105.08,1598.0,3893.8
